año;mes;ccaa;producto;volumen_miles_de_kg;valor_miles_de_€;precio_medio_kg;penetración_%;consumo_per_capita;gasto_per_capita;date;Olas;Motivo_ola
2018;01;Nacional;Patatas;108430.72;84640.08;0.78;79.4;2.38;1.85;2018-01-01;Pre-covid;Pre-covid
2018;01;Nacional;Patatas frescas;79445.66;54688.29;0.69;68.46;1.74;1.2;2018-01-01;Pre-covid;Pre-covid
2018;01;Nacional;Patatas congeladas;3999.9;4857.79;1.21;12.06;0.09;0.11;2018-01-01;Pre-covid;Pre-covid
2018;01;Nacional;Patatas procesadas;4997.03;25094.0;5.02;45.94;0.11;0.55;2018-01-01;Pre-covid;Pre-covid
2018;01;Nacional;Hortalizas frescas;209957.24;376688.56;1.79;97.27;4.6;8.25;2018-01-01;Pre-covid;Pre-covid
2018;01;Nacional;Omates;39934.35;67517.73;1.69;77.9;0.88;1.48;2018-01-01;Pre-covid;Pre-covid
2018;01;Nacional;Cebollas;25922.07;26254.86;1.01;69.76;0.57;0.58;2018-01-01;Pre-covid;Pre-covid
2018;01;Nacional;Ajos;2572.64;10736.54;4.17;34.75;0.06;0.24;2018-01-01;Pre-covid;Pre-covid
2018;01;Nacional;Coles;7041.12;7624.86;1.08;23.93;0.15;0.17;2018-01-01;Pre-covid;Pre-covid
2018;01;Nacional;Pepinos;4143.06;6335.35;1.53;22.2;0.09;0.14;2018-01-01;Pre-covid;Pre-covid
2018;01;Nacional;Judias verdes;7030.04;20346.43;2.89;33.73;0.15;0.45;2018-01-01;Pre-covid;Pre-covid
2018;01;Nacional;Pimientos;15385.94;28593.29;1.86;61.36;0.34;0.63;2018-01-01;Pre-covid;Pre-covid
2018;01;Nacional;Champiñoneso setas;5755.65;20953.66;3.64;41.3;0.13;0.46;2018-01-01;Pre-covid;Pre-covid
2018;01;Nacional;Lechuga/esc /endivia;12038.11;33668.4;2.8;58.4;0.26;0.74;2018-01-01;Pre-covid;Pre-covid
