product;origen;familia;price_mean_euro_kg;Volumen;date
ACEITUNAS;BARCELONA;FRUTAS HUESO;3.8;12;2018-04-01
ACEITUNAS;BARCELONA;FRUTAS HUESO;3.8;5;2018-05-01
ACEITUNAS;BARCELONA;FRUTAS HUESO;3.8;10;2018-06-01
ACEITUNAS;BARCELONA;FRUTAS HUESO;3.8;4;2018-07-01
ACEITUNAS;BARCELONA;FRUTAS HUESO;3.8;12;2018-08-01
ACEITUNAS;BARCELONA;FRUTAS HUESO;3.8;1543;2018-10-01
ACEITUNAS;BARCELONA;FRUTAS HUESO;3.8;79;2020-10-01
ACEITUNAS;CATELLON;FRUTAS HUESO;3.8;80;2018-10-01
ACEITUNAS;CIUDAD REAL;FRUTAS HUESO;3.8;210;2020-09-01
ACEITUNAS;CIUDAD REAL;FRUTAS HUESO;3.8;282;2020-10-01
ACEITUNAS;CORDOBA;FRUTAS HUESO;3.8;800;2018-09-01
ACEITUNAS;CORDOBA;FRUTAS HUESO;3.8;28;2018-10-01
ACEITUNAS;CORDOBA;FRUTAS HUESO;3.8;4929;2019-09-01
ACEITUNAS;CORDOBA;FRUTAS HUESO;3.8;5451;2019-10-01
ACEITUNAS;CORDOBA;FRUTAS HUESO;3.8;691;2019-11-01
ACEITUNAS;CORDOBA;FRUTAS HUESO;3.8;33633;2020-09-01
ACEITUNAS;CORDOBA;FRUTAS HUESO;3.8;25938;2020-10-01
ACEITUNAS;CORDOBA;FRUTAS HUESO;3.8;30032;2020-11-01
ACEITUNAS;FRANCIA;FRUTAS HUESO;3.8;4;2018-05-01
ACEITUNAS;GRANADA;FRUTAS HUESO;3.8;35;2019-10-01
ACEITUNAS;GRANADA;FRUTAS HUESO;3.8;494;2020-09-01
ACEITUNAS;GRANADA;FRUTAS HUESO;3.8;148;2020-10-01
ACEITUNAS;GRANADA;FRUTAS HUESO;3.8;167;2020-11-01
ACEITUNAS;ITALIA;FRUTAS HUESO;3.8;232;2018-01-01
ACEITUNAS;ITALIA;FRUTAS HUESO;3.8;100;2018-03-01
