Producto;CONSUMO X CAPITA;VALOR (Miles Euros);Fecha
T.HUEVOS KGS;0.69286858625956;72506.4433;01/01/2018
TOTAL CARNE;4.15003741407132;1222779.122;01/01/2018
CARNE CERTIFICADA;0.36123931354335;173475.7;01/01/2018
CARNE FRESCA;3.11187878708191;841402.28;01/01/2018
CARNE CONGELADA;0.09626803371933;17930.095;01/01/2018
CARNE TRANSFORMADA;0.94189059327008;363446.747;01/01/2018
PESCADOS;1.05783548188253;393023.967;01/01/2018
PESCADOS FRESCOS;0.82597289997756;315227.485;01/01/2018
PESCADOS CONGELADOS;0.23186258190496;77796.482;01/01/2018
TOTAL LECHE LIQUIDA;6.25344765820258;195833.2871;01/01/2018
PAN;2.74064200496833;299566.457;01/01/2018
BOLL.PAST.GALLET.CERE;1.16095074492894;246610.1025;01/01/2018
ARROZ;0.35150707056316;25031.36;01/01/2018
TOTAL PASTAS;0.38493236057502;32507.7383;01/01/2018
LEGUMBRES;0.32391272888043;27707.0655;01/01/2018
TOTAL ACEITE;1.09720792838956;154813.19434000002;01/01/2018
TOTAL VINOS;0.62294112642303;75825.62;01/01/2018
CERVEZAS;1.19816938981112;68169.188;01/01/2018
SIDRAS;0.0190674649689;1701.782;01/01/2018
T.BEBIDAS ESPIRITUOSA;0.0537369441551;26170.74;01/01/2018
TOTAL PATATAS;2.37615472434235;84640.082;01/01/2018
T.HORTALIZAS FRESCAS;4.60101064195926;376688.561;01/01/2018
T.FRUTAS FRESCAS;7.11226773880251;471462.16130000004;01/01/2018
BEBIDAS REFRESCANTES;2.73952048838181;109162.069;01/01/2018
T.HUEVOS KGS;0.66974073292224;70603.0994;01/02/2018
TOTAL CARNE;3.75235194955612;1108347.724;01/02/2018
CARNE CERTIFICADA;0.29212967241992;134479.6;01/02/2018
CARNE FRESCA;2.7931705170833;763782.784;01/02/2018
CARNE CONGELADA;0.08853343709987;18018.137;01/02/2018
CARNE TRANSFORMADA;0.87064799537295;326546.803;01/02/2018
PESCADOS;1.05023289761347;365593.352;01/02/2018
