Año|Mes|CCAA|Producto|Volumen (miles de kg)|Valor (miles de €)|Precio medio kg|Penetración (%)|Consumo per capita|Gasto per capita||
2018|Enero|Total Nacional|TOTAL PATATAS|108430,72|84640,08|0,78|79,4|2,38|1,85||
2018|Enero|Total Nacional|PATATAS FRESCAS|79445,66|54688,29|0,69|68,46|1,74|1,2||
2018|Enero|Total Nacional|PATATAS CONGELADAS|3999,9|4857,79|1,21|12,06|0,09|0,11||
2018|Enero|Total Nacional|PATATAS PROCESADAS|4997,03|25094|5,02|45,94|0,11|0,55||
2018|Enero|Total Nacional|T.HORTALIZAS FRESCAS|209957,24|376688,56|1,79|97,27|4,6|8,25||
2018|Enero|Total Nacional|TOMATES|39934,35|67517,73|1,69|77,9|0,88|1,48||
2018|Enero|Total Nacional|CEBOLLAS|25922,07|26254,86|1,01|69,76|0,57|0,58||
2018|Enero|Total Nacional|AJOS|2572,64|10736,54|4,17|34,75|0,06|0,24||
2018|Enero|Total Nacional|COLES|7041,12|7624,86|1,08|23,93|0,15|0,17||
2018|Enero|Total Nacional|PEPINOS|4143,06|6335,35|1,53|22,2|0,09|0,14||
2018|Enero|Total Nacional|JUDIAS VERDES|7030,04|20346,43|2,89|33,73|0,15|0,45||
2018|Enero|Total Nacional|PIMIENTOS|15385,94|28593,29|1,86|61,36|0,34|0,63||
2018|Enero|Total Nacional|CHAMPIÑONES+O.SETAS|5755,65|20953,66|3,64|41,3|0,13|0,46||
2018|Enero|Total Nacional|LECHUGA/ESC./ENDIVIA|12038,11|33668,4|2,8|58,4|0,26|0,74||
2018|Enero|Total Nacional|ESPARRAGOS|1652,94|4690,18|2,84|7,72|0,04|0,1||
2018|Enero|Total Nacional|VERDURAS DE HOJA|4933,06|12175,73|2,47|27,23|0,11|0,27||
2018|Enero|Total Nacional|BERENJENAS|4383,37|7675,76|1,75|27,33|0,1|0,17||
2018|Enero|Total Nacional|ZANAHORIAS|13553,18|11335,57|0,84|57,48|0,3|0,25||
2018|Enero|Total Nacional|CALABACINES|15570,6|22163,4|1,42|52,47|0,34|0,49||
2018|Enero|Total Nacional|OTR.HORTALIZAS/VERD.|50041,09|96616,8|1,93|82,31|1,1|2,12||
2018|Enero|Total Nacional|BROCOLI|6535,18|8832,66|1,35|28,53|0,14|0,19||
2018|Enero|Total Nacional|ALCACHOFAS|8463,51|15419,97|1,82|26,25|0,19|0,34||
2018|Enero|Total Nacional|VERD./HORT. IV GAMA|23884,5|62694,01|2,62|65,1|0,52|1,37||
2018|Enero|Andalucia|TOTAL PATATAS|22409,72|17255,05|0,77|82,96|2,58|1,99||
2018|Enero|Andalucia|PATATAS FRESCAS|15651,83|10399,72|0,66|71,12|1,8|1,2||
2018|Enero|Andalucia|PATATAS CONGELADAS|956,43|1142,88|1,19|16,79|0,11|0,13||
2018|Enero|Andalucia|PATATAS PROCESADAS|1160,29|5712,45|4,92|51,61|0,13|0,66||
2018|Enero|Andalucia|T.HORTALIZAS FRESCAS|36232,06|61004,46|1,68|96,72|4,17|7,02||
2018|Enero|Andalucia|TOMATES|7480,28|11031,97|1,47|79,01|0,86|1,27||
2018|Enero|Andalucia|CEBOLLAS|4717,41|4361,8|0,92|72,88|0,54|0,5||
2018|Enero|Andalucia|AJOS|538,35|2140,82|3,98|40,69|0,06|0,25||
2018|Enero|Andalucia|COLES|1066,82|1045,78|0,98|17,48|0,12|0,12||
2018|Enero|Andalucia|PEPINOS|684,99|1071,88|1,56|25,45|0,08|0,12||
2018|Enero|Andalucia|JUDIAS VERDES|954,39|2086,55|2,19|32,32|0,11|0,24||
2018|Enero|Andalucia|PIMIENTOS|2714,09|4886,53|1,8|63,87|0,31|0,56||
2018|Enero|Andalucia|CHAMPIÑONES+O.SETAS|908,6|3405,52|3,75|39,6|0,1|0,39||
2018|Enero|Andalucia|LECHUGA/ESC./ENDIVIA|1939,78|5624,43|2,9|57,76|0,22|0,65||
2018|Enero|Andalucia|ESPARRAGOS|276,53|645,45|2,33|7,35|0,03|0,07||
2018|Enero|Andalucia|VERDURAS DE HOJA|751,1|1862,74|2,48|26,36|0,09|0,21||
2018|Enero|Andalucia|BERENJENAS|902,51|1462,52|1,62|30,99|0,1|0,17||
2018|Enero|Andalucia|ZANAHORIAS|2245,92|1742,42|0,78|52,51|0,26|0,2||
2018|Enero|Andalucia|CALABACINES|2693,93|3666,49|1,36|49,57|0,31|0,42||
2018|Enero|Andalucia|OTR.HORTALIZAS/VERD.|8357,34|15969,56|1,91|83|0,96|1,84||
2018|Enero|Andalucia|BROCOLI|972,91|1358,96|1,4|29,01|0,11|0,16||
2018|Enero|Andalucia|ALCACHOFAS|1064,79|1844,68|1,73|22,93|0,12|0,21||
2018|Enero|Andalucia|VERD./HORT. IV GAMA|4587,51|10886,52|2,37|64,84|0,53|1,25||
2018|Enero|Aragon|TOTAL PATATAS|2646,29|1981,31|0,75|72,65|2,02|1,51||
2018|Enero|Aragon|PATATAS FRESCAS|2075,29|1357,56|0,65|63,55|1,58|1,03||
2018|Enero|Aragon|PATATAS CONGELADAS|60,13|72,22|1,2|9,95|0,05|0,06||
2018|Enero|Aragon|PATATAS PROCESADAS|102,17|551,53|5,4|38,73|0,08|0,42||
2018|Enero|Aragon|T.HORTALIZAS FRESCAS|6769,46|12339,94|1,82|98,32|5,16|9,4||
2018|Enero|Aragon|TOMATES|1151,9|2038,5|1,77|87,79|0,88|1,55||
2018|Enero|Aragon|CEBOLLAS|771,52|809,92|1,05|73,15|0,59|0,62||
2018|Enero|Aragon|AJOS|63,53|254,52|4,01|31,91|0,05|0,19||
2018|Enero|Aragon|COLES|146,69|153,98|1,05|22,15|0,11|0,12||
2018|Enero|Aragon|PEPINOS|176,04|275,83|1,57|24,84|0,13|0,21||
2018|Enero|Aragon|JUDIAS VERDES|284,13|828,97|2,92|36,54|0,22|0,63||
2018|Enero|Aragon|PIMIENTOS|432,37|819,44|1,9|55,9|0,33|0,62||
2018|Enero|Aragon|CHAMPIÑONES+O.SETAS|155,3|607,19|3,91|51,25|0,12|0,46||
