INICIO|FIN|GRUPO|SECTOR|SUBSECTOR|PRODUCTO|TIPO|SUBTIPO|POSICION|CATEGORIA|FORMATO|PRECIO|UNIDAD
01/01/2018|07/01/2018|Agrícola|Frutales|Citricos|LIMON|||Mercas|||0,92|Euros/kg
01/01/2018|07/01/2018|Agrícola|Frutales|Citricos|MANDARINA|||Mercas|||0,84|Euros/kg
01/01/2018|07/01/2018|Agrícola|Frutales|Citricos|NARANJA|||Mercas|||0,78|Euros/kg
01/01/2018|07/01/2018|Agrícola|Frutales|Citricos|POMELO|||Mercas|||1,01|Euros/kg
01/01/2018|07/01/2018|Agrícola|Frutales|Frutales no cítricos|AGUACATE|||Mercas|||3,77|Euros/kg
01/01/2018|07/01/2018|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|BACON|Agricultor|I||1,2|Euros/kg
01/01/2018|07/01/2018|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|BACON|Agricultor|II||0,59|Euros/kg
01/01/2018|07/01/2018|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|BACON|Agricultor|SIN ESPECIFICAR||1,27|Euros/kg
01/01/2018|07/01/2018|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|FUERTE|Agricultor|I||1,7|Euros/kg
01/01/2018|07/01/2018|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|FUERTE|Agricultor|II||0,57|Euros/kg
01/01/2018|07/01/2018|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|FUERTE|Agricultor|SIN ESPECIFICAR||1,56|Euros/kg
01/01/2018|07/01/2018|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|HASS|Agricultor|I||2,9|Euros/kg
01/01/2018|07/01/2018|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|HASS|Agricultor|II||1,62|Euros/kg
01/01/2018|07/01/2018|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|HASS|Agricultor|SIN ESPECIFICAR||2,44|Euros/kg
01/01/2018|07/01/2018|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|SIN ESPECIFICAR|Agricultor|I||2,05|Euros/kg
01/01/2018|07/01/2018|Agrícola|Frutales|Frutales no cítricos|AGUACATE|NO DESIGNADO|SIN ESPECIFICAR|Agricultor|II||0,49|Euros/kg
01/01/2018|07/01/2018|Agrícola|Frutales|Frutales no cítricos|CHIRIMOYA|||Mercas|||3,11|Euros/kg
