product|origen|Unidad|familia|YEAR|MONTH|price_mean|Volumen
ACEITUNAS|BARCELONA|kg|FRUTAS HUESO|2018|4|3,8|12
ACEITUNAS|BARCELONA|kg|FRUTAS HUESO|2018|5|3,8|5
ACEITUNAS|BARCELONA|kg|FRUTAS HUESO|2018|6|3,8|10
ACEITUNAS|BARCELONA|kg|FRUTAS HUESO|2018|7|3,8|4
ACEITUNAS|BARCELONA|kg|FRUTAS HUESO|2018|8|3,8|12
ACEITUNAS|BARCELONA|kg|FRUTAS HUESO|2018|10|3,8|1543
ACEITUNAS|BARCELONA|kg|FRUTAS HUESO|2020|10|3,8|79
ACEITUNAS|CATELLON|kg|FRUTAS HUESO|2018|10|3,8|80
ACEITUNAS|CIUDAD REAL|kg|FRUTAS HUESO|2020|9|3,8|210
ACEITUNAS|CIUDAD REAL|kg|FRUTAS HUESO|2020|10|3,8|282
ACEITUNAS|CORDOBA|kg|FRUTAS HUESO|2018|9|3,8|800
ACEITUNAS|CORDOBA|kg|FRUTAS HUESO|2018|10|3,8|28
ACEITUNAS|CORDOBA|kg|FRUTAS HUESO|2019|9|3,8|4929
ACEITUNAS|CORDOBA|kg|FRUTAS HUESO|2019|10|3,8|5451
ACEITUNAS|CORDOBA|kg|FRUTAS HUESO|2019|11|3,8|691
ACEITUNAS|CORDOBA|kg|FRUTAS HUESO|2020|9|3,8|33633
ACEITUNAS|CORDOBA|kg|FRUTAS HUESO|2020|10|3,8|25938
ACEITUNAS|CORDOBA|kg|FRUTAS HUESO|2020|11|3,8|30032
ACEITUNAS|FRANCIA|kg|FRUTAS HUESO|2018|5|3,8|4
ACEITUNAS|GRANADA|kg|FRUTAS HUESO|2019|10|3,8|35
ACEITUNAS|GRANADA|kg|FRUTAS HUESO|2020|9|3,8|494
ACEITUNAS|GRANADA|kg|FRUTAS HUESO|2020|10|3,8|148
ACEITUNAS|GRANADA|kg|FRUTAS HUESO|2020|11|3,8|167
ACEITUNAS|ITALIA|kg|FRUTAS HUESO|2018|1|3,8|232
ACEITUNAS|ITALIA|kg|FRUTAS HUESO|2018|3|3,8|100
ACEITUNAS|LERIDA|kg|FRUTAS HUESO|2018|4|3,8|6
ACEITUNAS|LERIDA|kg|FRUTAS HUESO|2020|1|3,8|760
ACEITUNAS|OTRAS PROVINCIAS|kg|FRUTAS HUESO|2018|11|3,8|660
ACEITUNAS|SEVILLA|kg|FRUTAS HUESO|2018|9|3,8|9104
ACEITUNAS|SEVILLA|kg|FRUTAS HUESO|2018|10|3,8|30287
ACEITUNAS|SEVILLA|kg|FRUTAS HUESO|2018|11|3,8|33379
ACEITUNAS|SEVILLA|kg|FRUTAS HUESO|2019|9|3,8|18636
ACEITUNAS|SEVILLA|kg|FRUTAS HUESO|2019|10|3,8|896
ACEITUNAS|SEVILLA|kg|FRUTAS HUESO|2019|11|3,8|300
ACEITUNAS|SEVILLA|kg|FRUTAS HUESO|2020|9|3,8|2030
ACEITUNAS|SEVILLA|kg|FRUTAS HUESO|2020|10|3,8|130
ACEITUNAS|TARRAGONA|kg|FRUTAS HUESO|2018|9|3,8|143
ACEITUNAS|TARRAGONA|kg|FRUTAS HUESO|2018|10|3,8|903
ACEITUNAS|TARRAGONA|kg|FRUTAS HUESO|2019|9|3,8|2249
ACEITUNAS|TARRAGONA|kg|FRUTAS HUESO|2019|10|3,8|3318
ACEITUNAS|TARRAGONA|kg|FRUTAS HUESO|2019|11|3,8|88
ACEITUNAS|TARRAGONA|kg|FRUTAS HUESO|2020|5|3,8|45
ACEITUNAS|TARRAGONA|kg|FRUTAS HUESO|2020|9|3,8|1225
ACEITUNAS|TARRAGONA|kg|FRUTAS HUESO|2020|10|3,8|1040
ACEITUNAS|VALENCIA|kg|FRUTAS HUESO|2018|9|3,8|4708
ACEITUNAS|VALENCIA|kg|FRUTAS HUESO|2018|10|3,8|330
ACEITUNAS|VALENCIA|kg|FRUTAS HUESO|2019|8|3,8|205
ACEITUNAS|VALENCIA|kg|FRUTAS HUESO|2019|9|3,8|4335
ACEITUNAS|VALENCIA|kg|FRUTAS HUESO|2019|10|3,8|801
ACEITUNAS|VALENCIA|kg|FRUTAS HUESO|2020|8|3,8|223
ACEITUNAS|VALENCIA|kg|FRUTAS HUESO|2020|9|3,8|2712
ACEITUNAS|VALENCIA|kg|FRUTAS HUESO|2020|10|3,8|630
ACEITUNAS|VALENCIA|kg|FRUTAS HUESO|2020|11|3,8|9
ACELGAS|ALEMANIA|kg|HORTALIZAS HOJA|2018|5|0,5|280
ACELGAS|ALEMANIA|kg|HORTALIZAS HOJA|2018|7|0,5|182
ACELGAS|ALEMANIA|kg|HORTALIZAS HOJA|2018|9|0,55|119
ACELGAS|ALEMANIA|kg|HORTALIZAS HOJA|2019|7|0,6|2305
ACELGAS|ALEMANIA|kg|HORTALIZAS HOJA|2019|8|0,5|2240
ACELGAS|ALEMANIA|kg|HORTALIZAS HOJA|2019|10|0,653846154|20260
ACELGAS|ALEMANIA|kg|HORTALIZAS HOJA|2019|12|0,7|12
ACELGAS|ALEMANIA|kg|HORTALIZAS HOJA|2020|1|0,7|1289
ACELGAS|ALEMANIA|kg|HORTALIZAS HOJA|2020|6|0,6|1620
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2018|1|0,75|408
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2018|3|0,575|1420
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2018|11|0,95|302
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2018|12|0,838461538|4056
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2019|1|0,883333333|2529
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2019|2|0,766666667|250
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2019|3|0,56|1400
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2019|4|0,635714286|370
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2019|5|0,54|340
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2019|6|0,55|346
