,inicio,fin,sector,subsector,producto,tipo,precio_euro_kg
31,2018-01-01,2018-07-01,Hortalizas,Hortícolas al aire libre,Zanahoria,Nantesa,0.32
33,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Berenjena,Larga,0.5
34,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Berenjena,Larga,0.24
35,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Berenjena,Larga,0.5
38,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Berenjena,Rayada,0.72
39,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Berenjena,Rayada,0.35
40,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Berenjena,Rayada,0.8
44,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Calabacin,Verde,0.4
45,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Calabacin,Verde,0.16
46,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Calabacin,Verde,0.38
50,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Judia_Verde,Plana,2.1
51,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Judia_Verde,Plana,0.7
52,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Judia_Verde,Plana,2.22
53,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Judia_Verde,Redonda,3.07
54,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Judia_Verde,Redonda,0.44
55,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Judia_Verde,Redonda,3.38
58,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pepino,Corto O Tipo Español,0.38
59,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pepino,Corto O Tipo Español,0.21
60,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pepino,Corto O Tipo Español,0.41
61,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pepino,Largo Tipo Holandés O Almería,0.47
62,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pepino,Largo Tipo Holandés O Almería,0.16
63,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pepino,Largo Tipo Holandés O Almería,0.45
64,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pepino,Medio Largo O Tipo Francés,0.23
65,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pepino,Medio Largo O Tipo Francés,0.18
66,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pepino,Medio Largo O Tipo Francés,0.24
70,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,California,1.38
71,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,California,0.5
72,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,California,1.48
73,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,California,1.4
74,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,California,0.78
75,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,California,0.95
76,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,California,0.38
77,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,California,0.97
78,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,California,1.27
79,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,California,0.32
80,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,California,0.33
81,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,California,0.79
82,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,California,0.33
83,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,California,0.79
84,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,Dulce Cónico,1.12
85,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,Dulce Cónico,0.24
